DPTO,informal,edad,soltero,analfabeta,nivel_educativo,ingreso,vivienda_propia,jefe_hogar,empleado_empresa_particular,empleado_gobierno,empleado_domestico,independiente,empleador,familiar_sin_remuneracion,empresa_sin_remuneracion,jornalero,horas_trabajo,desea_cambiar_trabajo,rural,dinero_ahorrado,tiempo_desempleado,tercera_edad
11,1,33,1,0,5,800000,0,1,1,0,0,0,0,0,0,0,72,0,1,0,48,0
25,1,54,0,0,3,600000,0,1,0,0,0,0,0,0,1,0,40,0,1,0,0,0
25,1,30,1,0,5,600000,0,0,0,0,0,0,0,0,1,0,40,0,1,0,0,0
25,1,26,0,0,8,160000,0,1,1,0,0,0,0,0,0,0,6,0,1,0,60,0
18,1,51,1,0,5,1250000,0,1,1,0,0,0,0,0,0,0,56,0,1,0,2,0
18,0,22,0,0,8,950000,0,1,1,0,0,0,0,0,0,0,48,0,1,0,51,0
18,1,37,1,0,5,600000,0,1,0,0,1,0,0,0,0,0,30,0,1,0,2,0
18,1,40,0,0,3,900000,0,0,0,0,1,0,0,0,0,0,40,0,1,1,0,0
66,1,42,1,0,3,680000,0,1,0,0,0,1,0,0,0,0,40,0,0,0,36,0
66,1,19,1,0,5,720000,0,0,1,0,0,0,0,0,0,0,50,0,0,0,0,0
66,1,25,0,0,5,1000000,0,0,1,0,0,0,0,0,0,0,72,0,0,0,9,0
66,1,56,1,0,3,600000,1,0,1,0,0,0,0,0,0,0,47,0,0,1,84,0
66,1,48,1,0,3,1050000,0,1,1,0,0,0,0,0,0,0,48,1,0,0,12,0
66,0,33,1,0,9,1600000,1,0,0,1,0,0,0,0,0,0,57,0,0,1,0,0
66,1,56,1,0,3,460000,1,0,1,0,0,0,0,0,0,0,40,0,0,0,1,0
66,1,19,1,0,8,300000,0,1,0,0,0,1,0,0,0,0,35,0,0,1,0,0
66,1,44,1,0,8,1400000,0,0,1,0,0,0,0,0,0,0,47,1,0,0,6,0
66,1,32,1,0,5,800000,0,1,0,0,0,1,0,0,0,0,40,1,0,0,4,0
66,1,64,1,0,3,440000,0,1,0,0,1,0,0,0,0,0,20,1,0,0,11,1
66,1,30,1,0,5,800000,0,0,1,0,0,0,0,0,0,0,50,0,0,0,2,0
66,1,26,1,0,9,956000,0,1,1,0,0,0,0,0,0,0,36,0,0,0,1,0
66,1,44,0,0,5,600000,0,1,1,0,0,0,0,0,0,0,20,0,0,0,0,0
66,1,34,1,0,3,480000,0,1,0,0,0,0,0,0,1,0,24,0,1,0,2,0
66,1,55,0,0,3,1450000,1,1,0,0,1,0,0,0,0,0,48,0,0,0,6,0
66,1,28,1,0,8,800000,1,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0
66,1,24,1,0,5,600000,1,1,0,0,0,1,0,0,0,0,30,0,1,0,5,0
66,1,27,0,0,3,360000,0,1,0,0,0,0,0,0,1,0,30,0,1,0,0,0
66,1,56,1,1,1,400000,0,1,0,0,0,0,0,0,1,0,20,1,1,0,1,0
66,1,48,1,0,3,800000,1,1,0,0,0,0,0,0,1,0,40,0,0,1,16,0
66,1,55,1,0,3,450000,0,1,0,0,1,0,0,0,0,0,36,1,1,0,3,0
66,1,58,1,0,3,360000,1,0,0,0,1,0,0,0,0,0,30,0,1,0,8,0
